alpha_ratio_avg,digits_pos_0_ratio,digits_pos_18_ratio,digits_pos_21_ratio,digits_pos_41_ratio,digits_pos_48_ratio,digits_pos_61_ratio,digits_pos_77_ratio,digits_pos_9_ratio,digits_ratio_avg,double_finess_ratio,filename,format_inferred,had_token_ratio,line_len_max,line_len_mean,line_len_median,line_len_min,n_lines,psy_token_ratio,size_bytes,spaces_ratio_avg,year_inferred
0.7058,0.0,0.0556,0.0278,0.0,0.0,0.0,0.0,0.0,0.0067,0.0,LICENCE.txt,INCONNU,0.0,228,58.2,64,13,36,0.0,2146,0.1132,0
0.6504,0.0,0.013,0.013,0.013,0.0,0.013,0.0,0.0,0.0185,0.0,LISEZ-MOI.txt,INCONNU,0.0,228,51.3,53,8,77,0.013,4062,0.1439,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,edge_shutdown_crash.txt,INCONNU,0.0,1,1.0,1,1,1,0.0,1,0.0,0
0.4033,0.0,1.0,1.0,1.0,1.0,0.0245,1.0,0.6286,0.3968,0.0,fv_psy_ano_2018_M12.txt,PSY-other,0.0,825,825.0,825,825,1753,0.0,1449731,0.1847,2018
,,,,,,,,,,,fv_psy_fc_ic_2018_M12.txt,PSY-other,,,,,,0,,2,,2018
0.1053,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,fv_psy_ficum_2023_M12___date___non_attendu.txt,PSY-other,0.0,38,38.0,38,38,40,0.0,1600,0.0947,2023
0.0654,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8777,1.0,fv_psy_raa_2018_M12.txt,PSY-other,0.0,124,92.3,92,92,10000,1.0,2309406,0.0569,2018
0.0203,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9143,1.0,fv_psy_rps_2018_M12.txt,PSY-other,0.0,160,152.1,152,152,2242,1.0,345436,0.0654,2018
0.011,0.9971,0.996,1.0,1.0,0.0,0.1786,0.0,0.9971,0.4758,0.9612,fv_psy_vh_2018_M12.txt,PSY-other,0.0,432,432.0,432,432,1753,0.0,759049,0.5132,2018
0.3953,0.0,1.0,1.0,1.0,1.0,0.0522,1.0,0.6263,0.4006,0.0,fv_psy_ano_2019_M12.txt,PSY-other,0.0,846,846.0,846,846,1742,0.0,1477216,0.1893,2019
0.0159,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9206,1.0,fv_psy_fc_ic_2019_M12.txt,PSY-other,0.0,63,63.0,63,63,370,0.0,24050,0.0635,2019
0.1053,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,fv_psy_ficum_2023_M12___date___non_attendu.txt,PSY-other,0.0,38,38.0,38,38,40,0.0,1600,0.0947,2023
0.0655,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8769,1.0,fv_psy_raa_2019_M12.txt,PSY-other,0.0,132,92.5,92,92,10000,1.0,2055686,0.0575,2019
0.0205,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9135,1.0,fv_psy_rps_2019_M12.txt,PSY-other,0.0,192,152.6,152,152,2379,1.0,367902,0.066,2019
0.0113,1.0,0.9977,1.0,1.0,0.0,0.1722,0.0,1.0,0.4807,0.9851,fv_psy_vh_2019_M12.txt,PSY-other,0.0,452,452.0,452,452,1742,0.0,789126,0.508,2019
